"Facultad","Ano","Ambos sexos","Hombre","Mujer"
"Filología","2019",3.39312977099237,4.32743362831858,2.68456375838926
"Filología","2020",3.25547445255474,3.7479674796748,2.85430463576159
"Filología","2021",3.39923954372624,3.95689655172414,2.95918367346939
"Filología","2022",3.24734982332155,3.48062015503876,3.05194805194805
"Filología","2023",3.2463768115942,3.69918699186992,2.88235294117647
"Filología","2024",3.21602787456446,3.26865671641791,3.16993464052288
"Filología","2025",2.88326848249027,3.2396694214876,2.56617647058824
"Filosofía","2018",3.24,3,3.6
"Filosofía","2019",2.30769230769231,2.5625,1.9
"Filosofía","2020",3,3,3
"Filosofía","2021",2.93548387096774,2.85,3.09090909090909
"Filosofía","2022",2.59375,2.6,2.58333333333333
"Filosofía","2023",2.86206896551724,2.42857142857143,4
"Filosofía","2024",2.61764705882353,2.77272727272727,2.33333333333333
"Filosofía","2025",2.19354838709677,2.04761904761905,2.5
"Geografía e Historia","2018",3.59770114942529,3.93877551020408,3.15789473684211
"Geografía e Historia","2019",3.89502762430939,4.20192307692308,3.48051948051948
"Geografía e Historia","2020",3.49142857142857,3.75757575757576,3.14473684210526
"Geografía e Historia","2021",3.85561497326203,4.13207547169811,3.49382716049383
"Geografía e Historia","2022",4.01595744680851,4.3,3.61538461538462
"Geografía e Historia","2023",3.7752808988764,4.21505376344086,3.29411764705882
"Geografía e Historia","2024",3.37569060773481,3.63366336633663,3.05
"Geografía e Historia","2025",3.375,3.38888888888889,3.35714285714286
"Informática","2018",5.17142857142857,5.3125,3.66666666666667
"Informática","2019",4.34285714285714,4.61290322580645,2.25
"Informática","2020",4.2258064516129,4.16666666666667,6
"Informática","2021",3.63333333333333,3.67857142857143,3
"Informática","2022",3.40625,3.48275862068966,2.66666666666667
"Informática","2023",4.03030303030303,4.16666666666667,2.66666666666667
"Informática","2024",3.3,3.39285714285714,2
"Informática","2025",3.60606060606061,3.68965517241379,3
"Medicina","2018",5.00223214285714,6.0655737704918,3.73039215686275
"Medicina","2019",4.97613882863341,5.95582329317269,3.82547169811321
"Medicina","2020",5.92827004219409,7.06792452830189,4.48325358851675
"Medicina","2021",7.21341463414634,8.59848484848485,5.60964912280702
"Medicina","2022",6.24505928853755,7.44525547445255,4.82758620689655
"Medicina","2023",6.04347826086957,7.19011406844106,4.67272727272727
"Medicina","2024",5.73191489361702,6.796875,4.45794392523364
"Medicina","2025",6.06118143459916,7.05882352941176,4.89954337899543
"Odontología","2018",3.62820512820513,4.47222222222222,2.9047619047619
"Odontología","2019",4.06666666666667,5.26190476190476,3.02083333333333
"Odontología","2020",4.03125,4.79591836734694,3.23404255319149
"Odontología","2021",4.58585858585859,6.28260869565217,3.11320754716981
"Odontología","2022",4.09090909090909,4.88235294117647,3.40677966101695
"Odontología","2023",3.93518518518519,5.05882352941176,2.92982456140351
"Odontología","2024",4.38383838383838,5.65116279069767,3.41071428571429
"Odontología","2025",4.62857142857143,6.15555555555556,3.48333333333333
"Psicología","2018",2.7515923566879,3.2,2.47422680412371
"Psicología","2019",2.61585365853659,3.14666666666667,2.1685393258427
"Psicología","2020",3.01621621621622,3.51315789473684,2.6697247706422
"Psicología","2021",3.43523316062176,4.50666666666667,2.75423728813559
"Psicología","2022",3.56218905472637,4.43373493975904,2.94915254237288
"Psicología","2023",3.12903225806452,3.96052631578947,2.55454545454545
"Psicología","2024",3.38418079096045,3.93506493506493,2.96
"Psicología","2025",3.21761658031088,3.9493670886076,2.71052631578947
"Trabajo Social","2018",3.78125,4.5,3.45454545454545
"Trabajo Social","2019",3.74193548387097,4.75,3.10526315789474
"Trabajo Social","2020",3.67567567567568,3.875,3.52380952380952
"Trabajo Social","2021",3.7027027027027,3.92857142857143,3.56521739130435
"Trabajo Social","2022",4.26086956521739,4.64705882352941,4.03448275862069
"Trabajo Social","2023",4.79487179487179,4.13333333333333,5.20833333333333
"Trabajo Social","2024",4.85,5.73333333333333,4.32
"Trabajo Social","2025",5.28947368421053,5.05555555555556,5.5
"Veterinaria","2018",3.55251141552511,3.76237623762376,3.3728813559322
"Veterinaria","2019",3.63967611336032,4.1551724137931,3.18320610687023
"Veterinaria","2020",3.5875,3.96363636363636,3.26923076923077
"Veterinaria","2021",3.90495867768595,4.06194690265487,3.76744186046512
"Veterinaria","2022",3.63385826771654,4.04385964912281,3.3
"Veterinaria","2023",4.03629032258065,4.92660550458716,3.33812949640288
"Veterinaria","2024",3.81297709923664,4.37190082644628,3.33333333333333
"Veterinaria","2025",3.79841897233202,4.48672566371681,3.24285714285714
"Óptica y Optometría","2018",2.82191780821918,3.48387096774194,2.33333333333333
"Óptica y Optometría","2019",3.67605633802817,4.51724137931035,3.0952380952381
"Óptica y Optometría","2020",4.125,4.5,3.85714285714286
"Óptica y Optometría","2021",4.2375,4.87878787878788,3.78723404255319
"Óptica y Optometría","2022",4.44318181818182,5.54054054054054,3.64705882352941
"Óptica y Optometría","2023",3.9873417721519,4.55882352941176,3.55555555555556
"Óptica y Optometría","2024",3.87209302325581,4.275,3.52173913043478
"Óptica y Optometría","2025",4.1046511627907,4.35,3.89130434782609
